wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
English Wikipedia,1,"696,456,562",64.1%,47.2%,1.8%,"5,172","134,670","31,661",1650,21.8%,"5,912",6.4%,"4,180,341",16.6%,9.6%,4.6%,19.8%,12.5%,0.95,0,"5,673,696","501,038,078",88,left-to-right,enwiki,wikipedia,en,https://en.wikipedia.org,English,Wikipedia,English Wikipedia
Spanish Wikipedia,2,"139,841,120",63.9%,56.7%,0.8%,"7,992","17,497","4,280",188,22.8%,"1,020",4.2%,"561,415",22.7%,15.5%,9.6%,31.6%,18.6%,0.96,0,"1,426,356","68,501,562",48,left-to-right,eswiki,wikipedia,es,https://es.wikipedia.org,Spanish,Wikipedia,Spanish Wikipedia
German Wikipedia,3,"92,964,352",54.4%,41.9%,5.0%,"4,696","19,795","5,577",484,12.0%,501,6.8%,"794,248",11.5%,3.0%,7.1%,10.1%,9.4%,0.96,0,"2,194,921","104,154,896",47,left-to-right,dewiki,wikipedia,de,https://de.wikipedia.org,German,Wikipedia,German Wikipedia
Japanese Wikipedia,4,"84,374,000",68.6%,57.4%,0.9%,"6,323","13,345","4,594",92,21.2%,744,10.4%,"344,452",5.5%,15.6%,8.8%,26.3%,7.0%,0.93,0,"1,111,332","51,231,382",46,left-to-right,jawiki,wikipedia,ja,https://ja.wikipedia.org,Japanese,Wikipedia,Japanese Wikipedia
French Wikipedia,5,"76,052,837",57.2%,47.2%,1.8%,"4,187","18,166","4,946",279,15.7%,783,6.9%,"705,548",24.3%,6.6%,13.3%,14.9%,7.1%,0.96,"3,053","1,996,841","81,828,624",41,left-to-right,frwiki,wikipedia,fr,https://fr.wikipedia.org,French,Wikipedia,French Wikipedia
Russian Wikipedia,6,"82,848,954",56.8%,40.1%,1.2%,"7,157","11,577","3,412",609,18.8%,496,6.3%,"482,160",20.4%,5.9%,12.0%,19.9%,9.2%,0.96,8,"1,480,816","53,871,124",36,left-to-right,ruwiki,wikipedia,ru,https://ru.wikipedia.org,Russian,Wikipedia,Russian Wikipedia
Wikimedia Commons,7,"24,160,830",44.4%,21.8%,0.0%,703,"34,390","9,848",186,8.7%,"2,313",2.0%,"2,844,182",41.0%,0.6%,0.1%,1.1%,1.9%,0.98,2,"47,507,124","149,098,365",3,left-to-right,commonswiki,commons,en,https://commons.wikimedia.org,English,Wikimedia Commons,Wikimedia Commons
Italian Wikipedia,8,"47,468,420",66.1%,60.8%,2.2%,"5,357","8,861","2,563",161,27.6%,355,7.8%,"411,944",47.3%,13.3%,12.4%,28.4%,10.9%,0.96,0,"1,446,166","49,099,062",34,left-to-right,itwiki,wikipedia,it,https://it.wikipedia.org,Italian,Wikipedia,Italian Wikipedia
Chinese Wikipedia,9,"33,209,574",64.1%,40.0%,1.2%,"4,187","7,931","2,690",142,21.5%,391,9.3%,"342,995",20.5%,12.5%,3.3%,21.7%,7.3%,0.96,"1,700","1,012,327","26,883,982",27,left-to-right,zhwiki,wikipedia,zh,https://zh.wikipedia.org,Chinese,Wikipedia,Chinese Wikipedia
Portuguese Wikipedia,10,"49,912,062",63.1%,57.3%,2.3%,"7,610","6,559","1,616",145,23.2%,333,4.6%,"256,814",6.1%,11.4%,14.8%,22.6%,11.2%,0.96,145,"1,001,522","26,961,422",27,left-to-right,ptwiki,wikipedia,pt,https://pt.wikipedia.org,Portuguese,Wikipedia,Portuguese Wikipedia
